DISS,Province,District,Chiefdom,2004 population,,,inferred 2014 population,,
,,,,Total,Male,Female,Total,Male,Female
139,Southern,Pujehun,Makpele,21955,10706,11249,32258,15730,16528
140,Southern,Pujehun,Malen,22090,11089,11001,32455,16292,16163
141,Southern,Pujehun,Mono Sakrim,7536,3577,3959,11071,5255,5816
142,Southern,Pujehun,Kpanga Kabondeh,33270,16184,17086,48882,23778,25104
143,Southern,Pujehun,Kpanga Krim,6651,3175,3476,9771,4664,5107
144,Southern,Pujehun,Peje,10334,4858,5476,15182,7137,8045
145,Southern,Pujehun,Soro Gbema,31977,14918,17059,46982,21918,25064
146,Southern,Pujehun,Sowa,15402,7463,7939,22629,10965,11664
147,Southern,Pujehun,Yakemu Kpukumu Krim,7033,3426,3607,10332,5033,5299
108,Northern,Tonkolili,Gbonkolenken,47838,22032,25806,59926,27599,32327
109,Northern,Tonkolili,Kafe Simiria,19817,9307,10510,24823,11658,13165
110,Northern,Tonkolili,Kalansogoia,16406,7604,8802,20551,9525,11026
111,Northern,Tonkolili,Kholifa Mabang,12460,5736,6724,15608,7185,8423
112,Northern,Tonkolili,Kholifa Rowalla,47675,22543,25132,59722,28239,31483
112,Northern,Tonkolili,Kholifa,601135,28279,31856,75330,123,123
113,Northern,Tonkolili,Kunike Barina,13411,6581,6830,16800,8244,8556
114,Northern,Tonkolili,Kunike,42968,20280,22688,53825,25404,28421
115,Northern,Tonkolili,Malal Mara,14025,6478,7547,17569,8115,9454
116,Northern,Tonkolili,Sambaia,22728,10479,12249,28471,13127,15344
117,Northern,Tonkolili,Tane,22242,10318,11924,27862,12925,14937
118,Northern,Tonkolili,Yoni,87627,40461,47166,109770,50685,59085
152,Western,Western Urban,Western Urban,772873,383578,389295,1064506,528316,536190
148,Western,Western Rural,Western Rural,174249,86094,88155,239999,118580,121419
