word,0,rank,freq
always,229,270.0,0.00045112930074958386
night,228,271.5,0.00044915930380307913
member,228,271.5,0.00044915930380307913
continue,227,273.0,0.00044718930685657435
train,226,274.0,0.0004452193099100696
reopening,224,275.0,0.00044127931601706016
chiefdom,222,276.5,0.0004373393221240507
frequent,222,276.5,0.0004373393221240507
break,221,278.5,0.000435369325177546
restriction,221,278.5,0.000435369325177546
meats,219,280.0,0.0004314293312845365
affected,217,281.0,0.00042748933739152707
pregnancy,216,282.0,0.0004255193404450223
re,214,283.5,0.00042157934655201283
ambulance,214,283.5,0.00042157934655201283
traditional,213,285.5,0.0004196093496055081
pregnant,213,285.5,0.0004196093496055081
vaccine,211,287.0,0.00041566935571249865
provision,210,288.0,0.0004136993587659939
over,209,289.0,0.0004117293618194892
days,208,290.0,0.00040975936487298447
restricted,207,291.5,0.00040778936792647974
finish,207,291.5,0.00040778936792647974
communication,206,293.0,0.00040581937097997496
task,205,294.0,0.00040384937403347023
direct,204,295.5,0.0004018793770869655
part,204,295.5,0.0004018793770869655
coming,203,297.0,0.00039990938014046077
into,199,298.5,0.00039202939235444186
sex,199,298.5,0.00039202939235444186
workers,196,300.0,0.0003861194015149277
lodging,195,301.0,0.0003841494045684229
bury,194,302.0,0.00038217940762191817
visitors,192,303.5,0.0003782394137289087
key,192,303.5,0.0003782394137289087
defaulters,191,305.0,0.000376269416782404
found,189,306.0,0.00037232942288939453
signs,186,307.0,0.00036641943204988035
set,184,309.0,0.00036247943815687084
logistics,184,309.0,0.00036247943815687084
social,184,309.0,0.00036247943815687084
let,183,311.0,0.0003605094412103661
fear,182,312.0,0.0003585394442638614
difficult,180,313.5,0.0003545994503708519
even,180,313.5,0.0003545994503708519
buckets,179,316.0,0.0003526294534243472
happy,179,316.0,0.0003526294534243472
during,179,316.0,0.0003526294534243472
light,178,318.0,0.00035065945647784247
start,177,319.0,0.00034868945953133774
doing,175,320.5,0.0003447494656383283
especially,175,320.5,0.0003447494656383283
50,174,322.0,0.0003427794686918235
she,173,323.0,0.0003408094717453188
obstacles,172,324.0,0.00033883947479881405
shake,171,326.0,0.0003368694778523093
using,171,326.0,0.0003368694778523093
sickness,171,326.0,0.0003368694778523093
animal,170,328.0,0.0003348994809058046
asking,168,330.0,0.00033095948701279514
god,168,330.0,0.00033095948701279514
accommodation,168,330.0,0.00033095948701279514
development,166,333.0,0.0003270194931197857
really,166,333.0,0.0003270194931197857
delay,166,333.0,0.0003270194931197857
hosting,165,335.5,0.00032504949617328095
many,165,335.5,0.00032504949617328095
same,164,338.0,0.0003230794992267762
attend,164,338.0,0.0003230794992267762
give,164,338.0,0.0003230794992267762
level,161,340.0,0.000317169508387262
long,160,341.5,0.00031519951144075726
champion,160,341.5,0.00031519951144075726
committee,159,343.0,0.00031322951449425253
funerals,158,344.0,0.0003112595175477478
symptoms,155,346.0,0.0003053495267082336
authorities,155,346.0,0.0003053495267082336
sleep,155,346.0,0.0003053495267082336
doctors,154,348.5,0.0003033795297617289
district,154,348.5,0.0003033795297617289
bike,152,350.0,0.0002994395358687194
freedom,151,351.0,0.00029746953892221466
proper,150,352.0,0.00029549954197570993
rules,149,353.0,0.0002935295450292052
response,148,355.0,0.00029155954808270047
might,148,355.0,0.00029155954808270047
challenge,148,355.0,0.00029155954808270047
veronical,146,358.5,0.000287619554189691
down,146,358.5,0.000287619554189691
knowledge,146,358.5,0.000287619554189691
financial,146,358.5,0.000287619554189691
within,145,361.5,0.0002856495572431863
playing,145,361.5,0.0002856495572431863
hard,143,363.5,0.00028170956335017683
00,143,363.5,0.00028170956335017683
coverage,141,366.0,0.0002777695694571673
burrial,141,366.0,0.0002777695694571673
le500,141,366.0,0.0002777695694571673
net,140,369.5,0.0002757995725106626
nobody,140,369.5,0.0002757995725106626
farming,140,369.5,0.0002757995725106626
related,140,369.5,0.0002757995725106626
implementation,139,374.0,0.00027382957556415787
late,139,374.0,0.00027382957556415787
never,139,374.0,0.00027382957556415787
spraying,139,374.0,0.00027382957556415787
than,139,374.0,0.00027382957556415787
virous,138,377.5,0.00027185957861765314
bats,138,377.5,0.00027185957861765314
nearest,137,379.5,0.0002698895816711484
pm,137,379.5,0.0002698895816711484
done,136,381.5,0.0002679195847246437
patients,136,381.5,0.0002679195847246437
sensitization,135,383.0,0.00026594958777813896
early,134,386.0,0.00026397959083163423
fluid,134,386.0,0.00026397959083163423
own,134,386.0,0.00026397959083163423
day,134,386.0,0.00026397959083163423
caught,134,386.0,0.00026397959083163423
restless,133,390.0,0.0002620095938851295
make,133,390.0,0.0002620095938851295
your,133,390.0,0.0002620095938851295
effective,132,393.5,0.0002600395969386247
things,132,393.5,0.0002600395969386247
relatives,132,393.5,0.0002600395969386247
able,132,393.5,0.0002600395969386247
practices,131,397.0,0.00025806959999212
die,131,397.0,0.00025806959999212
isolation,131,397.0,0.00025806959999212
love,130,400.0,0.00025609960304561526
each,130,400.0,0.00025609960304561526
unsafe,130,400.0,0.00025609960304561526
again,129,402.0,0.00025412960609911054
ends,128,406.0,0.0002521596091526058
just,128,406.0,0.0002521596091526058
points,128,406.0,0.0002521596091526058
becouse,128,406.0,0.0002521596091526058
hunger,128,406.0,0.0002521596091526058
tired,128,406.0,0.0002521596091526058
needs,128,406.0,0.0002521596091526058
cause,127,410.0,0.0002501896122061011
pray,126,411.5,0.00024821961525959635
catching,126,411.5,0.00024821961525959635
month,125,415.0,0.0002462496183130916
system,125,415.0,0.0002462496183130916
eaten,125,415.0,0.0002462496183130916
her,125,415.0,0.0002462496183130916
may,125,415.0,0.0002462496183130916
bat,124,418.5,0.0002442796213665869
malaria,124,418.5,0.0002442796213665869
schooling,123,420.5,0.00024230962442008214
monitoring,123,420.5,0.00024230962442008214
observe,122,423.0,0.00024033962747357741
result,122,423.0,0.00024033962747357741
ones,122,423.0,0.00024033962747357741
prohibited,121,425.5,0.00023836963052707269
enforce,121,425.5,0.00023836963052707269
dont,120,428.0,0.00023639963358056796
rate,120,428.0,0.00023639963358056796
praying,120,428.0,0.00023639963358056796
living,119,430.0,0.0002344296366340632
being,118,432.5,0.00023245963968755848
checking,118,432.5,0.00023245963968755848
100,118,432.5,0.00023245963968755848
such,118,432.5,0.00023245963968755848
willing,117,437.0,0.00023048964274105375
trade,117,437.0,0.00023048964274105375
calling,117,437.0,0.00023048964274105375
anyone,117,437.0,0.00023048964274105375
themselves,117,437.0,0.00023048964274105375
while,116,440.0,0.00022851964579454902
issue,115,441.0,0.0002265496488480443
distance,114,442.0,0.00022457965190153956
cleaning,113,445.0,0.0002226096549550348
mounting,113,445.0,0.0002226096549550348
try,113,445.0,0.0002226096549550348
comes,113,445.0,0.0002226096549550348
lead,113,445.0,0.0002226096549550348
rubber,112,449.5,0.00022063965800853008
mobilizers,112,449.5,0.00022063965800853008
fluids,112,449.5,0.00022063965800853008
accommodate,112,449.5,0.00022063965800853008
build,111,454.5,0.00021866966106202535
shortage,111,454.5,0.00021866966106202535
true,111,454.5,0.00021866966106202535
travelling,111,454.5,0.00021866966106202535
fined,111,454.5,0.00021866966106202535
football,111,454.5,0.00021866966106202535
respond,110,460.0,0.00021669966411552063
practice,110,460.0,0.00021669966411552063
accomodating,110,460.0,0.00021669966411552063
concerns,110,460.0,0.00021669966411552063
first,110,460.0,0.00021669966411552063
top,108,465.0,0.00021275967022251114
asked,108,465.0,0.00021275967022251114
teams,108,465.0,0.00021275967022251114
his,108,465.0,0.00021275967022251114
accepting,108,465.0,0.00021275967022251114
00pm,107,470.0,0.00021078967327600642
holding,107,470.0,0.00021078967327600642
follow,107,470.0,0.00021078967327600642
buring,107,470.0,0.00021078967327600642
three,107,470.0,0.00021078967327600642
ask,106,474.0,0.0002088196763295017
respect,106,474.0,0.0002088196763295017
treating,106,474.0,0.0002088196763295017
between,105,476.5,0.00020684967938299696
great,105,476.5,0.00020684967938299696
together,104,479.5,0.00020487968243649223
used,104,479.5,0.00020487968243649223
access,104,479.5,0.00020487968243649223
kill,104,479.5,0.00020487968243649223
authority,103,484.0,0.00020290968548998748
youth,103,484.0,0.00020290968548998748
10,103,484.0,0.00020290968548998748
accept,103,484.0,0.00020290968548998748
had,103,484.0,0.00020290968548998748
visitation,102,488.5,0.00020093968854348275
big,102,488.5,0.00020093968854348275
7pm,102,488.5,0.00020093968854348275
longer,102,488.5,0.00020093968854348275
deadly,101,491.0,0.00019896969159697802
killing,100,494.5,0.0001969996946504733
sharing,100,494.5,0.0001969996946504733
attendance,100,494.5,0.0001969996946504733
paid,100,494.5,0.0001969996946504733
far,100,494.5,0.0001969996946504733
survive,100,494.5,0.0001969996946504733
isolate,99,499.5,0.00019502969770396857
child,99,499.5,0.00019502969770396857
survivor,99,499.5,0.00019502969770396857
etc,99,499.5,0.00019502969770396857
benefit,97,503.0,0.00019108970381095908
making,97,503.0,0.00019108970381095908
th,97,503.0,0.00019108970381095908
return,96,505.5,0.00018911970686445436
entering,96,505.5,0.00018911970686445436
seriously,95,507.5,0.00018714970991794963
monkeys,95,507.5,0.00018714970991794963
training,94,510.5,0.0001851797129714449
shall,94,510.5,0.0001851797129714449
head,94,510.5,0.0001851797129714449
intercouse,94,510.5,0.0001851797129714449
secrete,93,515.0,0.00018320971602494017
soon,93,515.0,0.00018320971602494017
brought,93,515.0,0.00018320971602494017
treat,93,515.0,0.00018320971602494017
eradicate,93,515.0,0.00018320971602494017
cultural,92,521.0,0.00018123971907843542
nurses,92,521.0,0.00018123971907843542
handshaking,92,521.0,0.00018123971907843542
giving,92,521.0,0.00018123971907843542
burying,92,521.0,0.00018123971907843542
trained,92,521.0,0.00018123971907843542
somebody,92,521.0,0.00018123971907843542
fruit,91,527.0,0.0001792697221319307
close,91,527.0,0.0001792697221319307
smac,91,527.0,0.0001792697221319307
reach,91,527.0,0.0001792697221319307
villages,91,527.0,0.0001792697221319307
except,89,531.5,0.00017532972823892123
partly,89,531.5,0.00017532972823892123
opening,89,531.5,0.00017532972823892123
power,89,531.5,0.00017532972823892123
stakeholders,88,536.0,0.0001733597312924165
yet,88,536.0,0.0001733597312924165
accepted,88,536.0,0.0001733597312924165
major,88,536.0,0.0001733597312924165
quarantined,88,536.0,0.0001733597312924165
aid,87,540.5,0.00017138973434591175
everything,87,540.5,0.00017138973434591175
burry,87,540.5,0.00017138973434591175
information,87,540.5,0.00017138973434591175
kept,86,545.5,0.00016941973739940702
cannot,86,545.5,0.00016941973739940702
ceremonies,86,545.5,0.00016941973739940702
emergency,86,545.5,0.00016941973739940702
medication,86,545.5,0.00016941973739940702
say,86,545.5,0.00016941973739940702
process,85,552.0,0.0001674497404529023
gov,85,552.0,0.0001674497404529023
afraid,85,552.0,0.0001674497404529023
life,85,552.0,0.0001674497404529023
drug,85,552.0,0.0001674497404529023
bikes,85,552.0,0.0001674497404529023
enough,85,552.0,0.0001674497404529023
blood,84,560.5,0.00016547974350639757
wfp,84,560.5,0.00016547974350639757
secreat,84,560.5,0.00016547974350639757
areas,84,560.5,0.00016547974350639757
society,84,560.5,0.00016547974350639757
lot,84,560.5,0.00016547974350639757
plastic,84,560.5,0.00016547974350639757
until,84,560.5,0.00016547974350639757
leones,84,560.5,0.00016547974350639757
drugs,84,560.5,0.00016547974350639757
working,83,567.5,0.00016350974655989284
maintain,83,567.5,0.00016350974655989284
transmitted,83,567.5,0.00016350974655989284
stoped,83,567.5,0.00016350974655989284
away,82,572.0,0.0001615397496133881
find,82,572.0,0.0001615397496133881
monkey,82,572.0,0.0001615397496133881
ppes,82,572.0,0.0001615397496133881
lock,82,572.0,0.0001615397496133881
period,81,575.5,0.00015956975266688336
among,81,575.5,0.00015956975266688336
means,80,577.0,0.00015759975572037863
mount,79,580.0,0.0001556297587738739
believe,79,580.0,0.0001556297587738739
200,79,580.0,0.0001556297587738739
leave,79,580.0,0.0001556297587738739
measures,79,580.0,0.0001556297587738739
towards,78,583.5,0.00015365976182736917
realy,78,583.5,0.00015365976182736917
market,77,588.0,0.00015168976488086445
burail,77,588.0,0.00015168976488086445
suffering,77,588.0,0.00015168976488086445
needed,77,588.0,0.00015168976488086445
came,77,588.0,0.00015168976488086445
fighting,77,588.0,0.00015168976488086445
pure,77,588.0,0.00015168976488086445
available,76,594.5,0.0001497197679343597
area,76,594.5,0.0001497197679343597
domestic,76,594.5,0.0001497197679343597
possible,76,594.5,0.0001497197679343597
